time_s,q_ref_rad,q_rad,dq_rad_s,q_measured_rad,dq_est_rad_s,state_error_q_rad,state_error_dq_rad_s,torque_unsat_nm,torque_applied_nm,saturated,requested_pole_1_real,requested_pole_1_imag,requested_pole_2_real,requested_pole_2_imag,computed_pole_1_real,computed_pole_1_imag,computed_pole_2_real,computed_pole_2_imag
2.000000000000000111e-01,5.235987755982988157e-01,5.271608031021425278e-01,-1.604971281104077274e+00,5.269228699159889118e-01,1.320152201833721062e+00,3.324094317690096112e-03,1.320152201833721062e+00,-5.656668909129223266e-01,-5.656668909129223266e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.099999999999999922e-01,5.235987755982988157e-01,5.089005007211930831e-01,-1.826030238094944913e+00,5.091422010291221101e-01,1.010330292781681072e+00,-1.445657456917670558e-02,1.010330292781681072e+00,-3.495144382309782194e-01,-3.495144382309782194e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.200000000000000011e-01,5.235987755982988157e-01,4.896131629723041723e-01,-1.928733774888888863e+00,4.908839440010679955e-01,7.267146932229718859e-01,-3.271483159723082013e-02,7.267146932229718859e-01,-1.419244599547800634e-01,-1.419244599547800634e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.300000000000000100e-01,5.235987755982988157e-01,4.703909498394281963e-01,-1.922221313287594713e+00,4.698557907028813041e-01,4.437616909188078496e-01,-5.374298489541751156e-02,4.437616909188078496e-01,7.897782053467558572e-02,7.897782053467558572e-02,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.399999999999999911e-01,5.235987755982988157e-01,4.523490298776644547e-01,-1.804191996176372159e+00,4.522765954770728292e-01,2.235935695688423264e-01,-7.132218012122598649e-02,2.235935695688423264e-01,2.568339351530831705e-01,2.568339351530831705e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.500000000000000000e-01,5.235987755982988157e-01,4.363394597397556307e-01,-1.600957013790879735e+00,4.352538829849825208e-01,3.100708769105503526e-02,-8.834489261331629484e-02,3.100708769105503526e-02,4.204825051900230037e-01,4.204825051900230037e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.600000000000000089e-01,5.235987755982988157e-01,4.231077992883453542e-01,-1.323166045141027647e+00,4.230494236627538318e-01,-9.413821430033733617e-02,-1.005493519355449838e-01,-9.413821430033733617e-02,5.324300371654169250e-01,5.324300371654169250e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.700000000000000178e-01,5.235987755982988157e-01,4.131077114229602665e-01,-1.000008786538507444e+00,4.131952143375035025e-01,-1.832664861228068820e-01,-1.104035612607953132e-01,-1.832664861228068820e-01,6.178602489079814131e-01,6.178602489079814131e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.800000000000000266e-01,5.235987755982988157e-01,4.066402516017468272e-01,-6.467459821213419335e-01,4.072946487963405304e-01,-2.239454929221559309e-01,-1.163041268019582852e-01,-2.239454929221559309e-01,6.637340401997331440e-01,6.637340401997331440e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
2.899999999999999800e-01,5.235987755982988157e-01,4.037940848302593588e-01,-2.846166771487451674e-01,4.045597484373078534e-01,-2.288999472202671026e-01,-1.190390271609909623e-01,-2.288999472202671026e-01,6.792121120895245889e-01,6.792121120895245889e-01,0.000000000000000000e+00,8.708010977879273584e-01,8.737154259820201219e-02,8.708010977879273584e-01,-8.737154259820201219e-02,8.708010977879272474e-01,8.737154259820167912e-02,8.708010977879272474e-01,-8.737154259820167912e-02
