time_s,q_ref_rad,q_rad,dq_rad_s,q_measured_rad,dq_est_rad_s,state_error_q_rad,state_error_dq_rad_s,torque_unsat_nm,torque_applied_nm,saturated,requested_pole_1_real,requested_pole_1_imag,requested_pole_2_real,requested_pole_2_imag,computed_pole_1_real,computed_pole_1_imag,computed_pole_2_real,computed_pole_2_imag
2.099999999999999922e-01,5.235987755982988157e-01,2.306306794375008185e-01,1.504940115585432059e+00,2.308723797454299009e-01,1.176158065678474696e+00,-2.927263958528689147e-01,1.176158065678474696e+00,8.367192203892823144e-02,8.367192203892823144e-02,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.200000000000000011e-01,5.235987755982988157e-01,2.455356306512844478e-01,1.490495121378363486e+00,2.468064116800482988e-01,1.217882578456811249e+00,-2.767923639182505169e-01,1.217882578456811249e+00,6.691747263030789483e-02,6.691747263030789483e-02,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.300000000000000100e-01,5.235987755982988157e-01,2.602354282511931682e-01,1.469979759990869495e+00,2.597002691146462761e-01,1.225032894957109875e+00,-2.638985064836525396e-01,1.225032894957109875e+00,5.643008822967771065e-02,5.643008822967771065e-02,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.399999999999999911e-01,5.235987755982988157e-01,2.746956593272841807e-01,1.446023107609099689e+00,2.746232249266925551e-01,1.251759163581861678e+00,-2.489755506716062605e-01,1.251759163581861678e+00,4.216366250470832133e-02,4.216366250470832133e-02,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.500000000000000000e-01,5.235987755982988157e-01,2.888682762019058603e-01,1.417261687462168407e+00,2.877826994471327504e-01,1.258177992428077596e+00,-2.358160761511660652e-01,1.258177992428077596e+00,3.156162010383881111e-02,3.156162010383881111e-02,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.600000000000000089e-01,5.235987755982988157e-01,3.027209957166106524e-01,1.385271951470477880e+00,3.026626200910191300e-01,1.281159399624133499e+00,-2.209361555072796857e-01,1.281159399624133499e+00,1.775948681056091494e-02,1.775948681056091494e-02,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.700000000000000178e-01,5.235987755982988157e-01,3.162100869618370558e-01,1.348909124522642777e+00,3.162975898763802918e-01,1.289393157515331900e+00,-2.073011857219185239e-01,1.289393157515331900e+00,6.591728308356775701e-03,6.591728308356775701e-03,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.800000000000000266e-01,5.235987755982988157e-01,3.293034394103889761e-01,1.309335244855193592e+00,3.299578366049826794e-01,1.297056309049822609e+00,-1.936409389933161362e-01,1.297056309049822609e+00,-4.529141809688636000e-03,-4.529141809688636000e-03,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.899999999999999800e-01,5.235987755982988157e-01,3.419701281743401933e-01,1.266668876395121934e+00,3.427357917813886878e-01,1.295130229908900477e+00,-1.808629838169101278e-01,1.295130229908900477e+00,-1.388253222637630957e-02,-1.388253222637630957e-02,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
2.999999999999999889e-01,5.235987755982988157e-01,3.541870743233302421e-01,1.221694614899002884e+00,3.548817167374360704e-01,1.287076456478484232e+00,-1.687170588608627453e-01,1.287076456478484232e+00,-2.205534039081799569e-02,-2.205534039081799569e-02,0.000000000000000000e+00,9.505606696868273975e-01,3.566274359173497027e-02,9.505606696868273975e-01,-3.566274359173497027e-02,9.505606696868272865e-01,3.566274359173491476e-02,9.505606696868272865e-01,-3.566274359173491476e-02
